Driver,LapNumber,PitInTime,PitOutTime,PitLaneTime,PitStopDurationSeconds
VER,64.0,0 days 02:31:50.880000,0 days 02:29:46.945000,-1 days +23:57:56.065000,-123.935
PER,64.0,0 days 03:12:46.289000,0 days 03:11:05.760000,-1 days +23:58:19.471000,-100.529
STR,64.0,0 days 03:13:17.507000,0 days 03:11:31.525000,-1 days +23:58:14.018000,-105.982
MAG,1.0,0 days 01:03:55.646000,0 days 01:02:17.710000,-1 days +23:58:22.064000,-97.936
MAG,64.0,0 days 03:13:31.679000,0 days 03:11:43.181000,-1 days +23:58:11.502000,-108.498
TSU,64.0,0 days 03:13:14.414000,0 days 03:11:28.900000,-1 days +23:58:14.486000,-105.514
ALB,64.0,0 days 03:13:02.883000,0 days 03:11:21.400000,-1 days +23:58:18.517000,-101.483
HUL,64.0,0 days 03:13:19.976000,0 days 03:11:33.369000,-1 days +23:58:13.393000,-106.607
OCO,64.0,0 days 03:13:09.898000,0 days 03:11:25.588000,-1 days +23:58:15.690000,-104.31
NOR,64.0,0 days 03:12:49.336000,0 days 03:11:12.135000,-1 days +23:58:22.799000,-97.201
LAW,64.0,0 days 03:13:27.914000,0 days 03:11:39.650000,-1 days +23:58:11.736000,-108.264
RUS,64.0,0 days 03:12:59.602000,0 days 03:11:18.166000,-1 days +23:58:18.564000,-101.436
BOT,64.0,0 days 03:13:22.289000,0 days 03:11:34.947000,-1 days +23:58:12.658000,-107.342
PIA,64.0,0 days 03:13:06.945000,0 days 03:11:23.838000,-1 days +23:58:16.893000,-103.107
